disease,Coarse Crackle,Fine Crackle,No Event,Normal,Rhonchi,Stridor,Wheeze,Wheeze+Crackle,TOTAL
Pneumonia (non-severe),50,1341,146,8821,104,2,569,34,11067
Unknown,65,1838,3,2367,9,8,262,261,4813
Bronchitis,18,141,6,1906,53,15,183,0,2322
Control Group,10,2,27,1932,34,23,16,0,2044
Asthma,1,28,15,1379,0,7,162,0,1592
Pneumonia (severe),32,117,9,952,8,0,146,7,1271
Other respiratory diseases,0,2,2,365,2,19,20,1,411
Bronchiectasia,0,41,3,258,7,0,7,0,316
Bronchiolitis,0,17,0,157,0,0,131,0,305
Acute upper respiratory infection,0,2,1,233,0,0,0,0,236
Hemoptysis,0,1,15,218,0,0,0,0,234
Pulmonary hemosiderosis,0,0,2,70,0,0,0,0,72
Chronic cough,1,0,1,53,0,0,0,0,55
Airway foreign body,0,0,0,38,0,0,0,0,38
Protracted bacterial bronchitis,0,0,0,21,0,0,0,0,21
Kawasaki disease,0,0,0,2,0,0,9,0,11
