Component,Parameter,Value
HeAR encoder,Model,google/hear-pytorch
HeAR encoder,Embedding dim,512
Classification head,Hidden dim,256
Classification head,Dropout,0.3
Training,Phase 1 epochs,10 (frozen encoder)
Training,Phase 2 epochs,40 (fine-tune)
Training,Batch size,32
Training,Learning rate (Phase 1),1e-4
Training,Learning rate (Phase 2),5e-7
LightGBM,n_estimators,50–500 (Optuna)
LightGBM,max_depth,3–15
LightGBM,learning_rate,0.01–0.3 (log)
LightGBM,num_leaves,15–300
LightGBM,min_child_samples,5–100
LightGBM,subsample,0.6–1.0
LightGBM,colsample_bytree,0.6–1.0
LightGBM,early_stopping_rounds,20
LightGBM,Optimization,"Optuna TPE, 100 trials"
