task,subgroup,level,n_patients,n_events,auc,accuracy
model2_label,age_band,3-<6 y,37,1120,0.950 (0.887–0.987),0.937 (0.915–0.955)
model2_label,age_band,6-<12 y,22,615,0.976 (0.942–0.987),0.917 (0.886–0.962)
model2_label,age_band,<3 y,10,141,0.982 (0.941–0.999),0.858 (0.739–0.950)
model2_label,sex,female,40,1114,0.950 (0.879–0.983),0.927 (0.900–0.950)
model2_label,sex,male,34,789,0.969 (0.949–0.990),0.919 (0.892–0.956)
model2_label,site,p1,60,478,0.963 (0.894–0.993),0.939 (0.913–0.968)
model2_label,site,p2,61,497,0.947 (0.907–0.976),0.903 (0.869–0.938)
model2_label,site,p3,59,461,0.968 (0.908–0.993),0.924 (0.900–0.945)
model2_label,site,p4,58,467,0.984 (0.965–0.994),0.929 (0.897–0.957)
model2_label,duration_tertile,long,65,634,0.826 (0.629–0.983),0.975 (0.959–0.989)
model2_label,duration_tertile,medium,68,633,0.967 (0.942–0.987),0.938 (0.905–0.963)
model2_label,duration_tertile,short,57,636,0.964 (0.942–0.981),0.858 (0.818–0.889)
model1_label,age_band,3-<6 y,37,1120,0.958 (0.925–0.983),0.930 (0.898–0.957)
model1_label,age_band,6-<12 y,22,615,0.972 (0.955–0.986),0.891 (0.837–0.962)
model1_label,age_band,<3 y,10,141,0.959 (0.924–0.995),0.809 (0.657–0.926)
model1_label,sex,female,40,1114,0.961 (0.914–0.984),0.928 (0.891–0.957)
model1_label,sex,male,34,789,0.959 (0.940–0.974),0.881 (0.837–0.938)
model1_label,site,p1,60,478,0.965 (0.902–0.990),0.921 (0.886–0.955)
model1_label,site,p2,61,497,0.949 (0.921–0.974),0.885 (0.841–0.926)
model1_label,site,p3,59,461,0.956 (0.933–0.977),0.898 (0.851–0.941)
model1_label,site,p4,58,467,0.980 (0.951–0.995),0.931 (0.893–0.966)
model1_label,duration_tertile,long,65,634,0.872 (0.759–0.980),0.967 (0.948–0.984)
model1_label,duration_tertile,medium,68,633,0.962 (0.942–0.980),0.935 (0.900–0.962)
model1_label,duration_tertile,short,57,636,0.956 (0.942–0.969),0.824 (0.789–0.874)
model3_label,age_band,3-<6 y,37,1120,0.729 (0.479–0.849),0.569 (0.390–0.733)
model3_label,age_band,6-<12 y,22,615,0.748 (0.608–0.885),0.722 (0.413–0.879)
model3_label,age_band,<3 y,10,141,0.540 (0.298–0.896),0.447 (0.169–0.754)
model3_label,sex,female,40,1114,0.673 (0.466–0.767),0.630 (0.465–0.786)
model3_label,sex,male,34,789,0.670 (0.481–0.831),0.561 (0.264–0.761)
model3_label,site,p1,60,478,0.757 (0.627–0.848),0.663 (0.520–0.787)
model3_label,site,p2,61,497,0.718 (0.562–0.817),0.614 (0.464–0.753)
model3_label,site,p3,59,461,0.647 (0.483–0.763),0.553 (0.375–0.714)
model3_label,site,p4,58,467,0.692 (0.542–0.797),0.574 (0.432–0.700)
model3_label,duration_tertile,long,65,634,0.613 (0.488–0.747),0.391 (0.240–0.567)
model3_label,duration_tertile,medium,68,633,0.714 (0.535–0.817),0.600 (0.451–0.722)
model3_label,duration_tertile,short,57,636,0.583 (0.418–0.795),0.813 (0.646–0.907)
