task,feature,group,mean_abs_shap,share
Screening,Sound pattern: P(Normal),other-task acoustic,0.2801196942368409,0.1155829211809246
Screening,Sound pattern: P(Crackles),other-task acoustic,0.09761612775670993,0.04027834326761513
Screening,Sound pattern: P(Wheeze/Rhonchi),other-task acoustic,0.07164817422733046,0.02956345249853391
Screening,Screening: P(Normal),own-task acoustic,0.5744062483398916,0.23701136868858036
Screening,Screening: P(Abnormal),own-task acoustic,1.0380168790625806,0.42830627615821665
Screening,Disease group: P(Pneumonia),other-task acoustic,0.04339831805620929,0.01790700360765932
Screening,Disease group: P(Bronchial),other-task acoustic,0.038991607969570456,0.01608870794658911
Screening,Disease group: P(Normal/Other),other-task acoustic,0.04383892883107839,0.018088808320112355
Screening,Age (years),age,0.16038108394304057,0.06617640446453733
Screening,Sex,sex,0.016354204031979007,0.006748067752804165
Screening,Auscultation site,site,0.058767534734635626,0.024248646114426953
Sound pattern,Sound pattern: P(Normal),own-task acoustic,0.16587651772267803,0.10171619548324719
Sound pattern,Sound pattern: P(Crackles),own-task acoustic,0.27774772512307155,0.1703161019504759
Sound pattern,Sound pattern: P(Wheeze/Rhonchi),own-task acoustic,0.26220776457071016,0.16078693117303897
Sound pattern,Screening: P(Normal),other-task acoustic,0.3018864278703214,0.18511805849658672
Sound pattern,Screening: P(Abnormal),other-task acoustic,0.2917231379007821,0.17888588529035324
Sound pattern,Disease group: P(Pneumonia),other-task acoustic,0.061239867491331784,0.037552550648130956
Sound pattern,Disease group: P(Bronchial),other-task acoustic,0.03889983203861974,0.023853544638071315
Sound pattern,Disease group: P(Normal/Other),other-task acoustic,0.03210850602092316,0.019689074257993846
Sound pattern,Age (years),age,0.1424721284566671,0.08736452312822697
Sound pattern,Sex,sex,0.020536267682306784,0.012592927840226933
Sound pattern,Auscultation site,site,0.03607966669058257,0.02212420709364798
Disease group,Sound pattern: P(Normal),other-task acoustic,0.003917397051455422,0.007891259556578661
Disease group,Sound pattern: P(Crackles),other-task acoustic,0.011455174353725662,0.023075463861271833
Disease group,Sound pattern: P(Wheeze/Rhonchi),other-task acoustic,0.019330972241963913,0.0389405815746146
Disease group,Screening: P(Normal),other-task acoustic,0.004667516212248837,0.009402310113474492
Disease group,Screening: P(Abnormal),other-task acoustic,0.010002200592259503,0.020148573140207952
Disease group,Disease group: P(Pneumonia),own-task acoustic,0.0817002808989342,0.16457819157732426
Disease group,Disease group: P(Bronchial),own-task acoustic,0.041553715792327806,0.08370638782600102
Disease group,Disease group: P(Normal/Other),own-task acoustic,0.040224040692572086,0.08102787165818147
Disease group,Age (years),age,0.21452757251295312,0.43214735052539704
Disease group,Sex,sex,0.0690434084232199,0.13908201016694866
Disease group,Auscultation site,site,0.0,0.0
