task,subgroup,level,n_patients,n_events,auc,accuracy
model2_label,age_band,3-<6 y,37,1120,0.954 (0.890–0.981),0.926 (0.895–0.953)
model2_label,age_band,6-<12 y,22,615,0.971 (0.941–0.977),0.883 (0.836–0.950)
model2_label,age_band,<3 y,10,141,0.974 (0.922–0.998),0.830 (0.670–0.946)
model2_label,sex,female,34,789,0.970 (0.954–0.985),0.901 (0.855–0.958)
model2_label,sex,male,40,1114,0.941 (0.871–0.976),0.907 (0.868–0.937)
model2_label,site,p1,60,478,0.959 (0.874–0.988),0.925 (0.893–0.959)
model2_label,site,p2,61,497,0.943 (0.911–0.968),0.889 (0.844–0.931)
model2_label,site,p3,59,461,0.964 (0.936–0.985),0.874 (0.824–0.920)
model2_label,site,p4,58,467,0.983 (0.950–0.995),0.929 (0.893–0.961)
model2_label,duration_tertile,long,65,634,0.839 (0.640–0.992),0.976 (0.963–0.989)
model2_label,duration_tertile,medium,68,633,0.963 (0.944–0.977),0.932 (0.902–0.955)
model2_label,duration_tertile,short,57,636,0.953 (0.932–0.970),0.805 (0.764–0.857)
model1_label,age_band,3-<6 y,37,1120,0.961 (0.914–0.984),0.923 (0.892–0.951)
model1_label,age_band,6-<12 y,22,615,0.965 (0.950–0.981),0.859 (0.796–0.949)
model1_label,age_band,<3 y,10,141,0.938 (0.897–0.987),0.780 (0.641–0.901)
model1_label,sex,female,34,789,0.959 (0.940–0.977),0.872 (0.811–0.947)
model1_label,sex,male,40,1114,0.953 (0.889–0.983),0.905 (0.868–0.936)
model1_label,site,p1,60,478,0.958 (0.858–0.988),0.918 (0.880–0.955)
model1_label,site,p2,61,497,0.943 (0.923–0.967),0.861 (0.810–0.912)
model1_label,site,p3,59,461,0.959 (0.941–0.976),0.866 (0.808–0.917)
model1_label,site,p4,58,467,0.979 (0.942–0.995),0.921 (0.880–0.957)
model1_label,duration_tertile,long,65,634,0.874 (0.754–0.993),0.975 (0.959–0.989)
model1_label,duration_tertile,medium,68,633,0.966 (0.951–0.977),0.923 (0.891–0.946)
model1_label,duration_tertile,short,57,636,0.945 (0.929–0.961),0.777 (0.739–0.828)
model3_label,age_band,3-<6 y,37,1120,0.723 (0.509–0.833),0.550 (0.370–0.703)
model3_label,age_band,6-<12 y,22,615,0.662 (0.508–0.844),0.595 (0.376–0.726)
model3_label,age_band,<3 y,10,141,0.588 (0.328–0.845),0.461 (0.246–0.698)
model3_label,sex,female,34,789,0.631 (0.469–0.768),0.458 (0.237–0.609)
model3_label,sex,male,40,1114,0.655 (0.467–0.743),0.616 (0.468–0.760)
model3_label,site,p1,60,478,0.736 (0.630–0.821),0.592 (0.444–0.709)
model3_label,site,p2,61,497,0.709 (0.563–0.807),0.590 (0.466–0.696)
model3_label,site,p3,59,461,0.607 (0.437–0.715),0.486 (0.346–0.598)
model3_label,site,p4,58,467,0.664 (0.513–0.778),0.529 (0.406–0.643)
model3_label,duration_tertile,long,65,634,0.621 (0.490–0.755),0.427 (0.268–0.613)
model3_label,duration_tertile,medium,68,633,0.695 (0.532–0.789),0.577 (0.431–0.691)
model3_label,duration_tertile,short,57,636,0.594 (0.486–0.740),0.646 (0.520–0.735)
