task,subgroup,level,n_patients,n_events,auc,accuracy
model2_label,age_band,3-<6 y,248,825,0.971 (0.950–0.985),0.949 (0.931–0.964)
model2_label,age_band,6-<12 y,183,587,0.955 (0.915–0.980),0.951 (0.929–0.970)
model2_label,age_band,<3 y,110,517,0.984 (0.974–0.992),0.917 (0.890–0.944)
model2_label,age_band,>=12 y,18,41,0.974 (0.905–1.000),0.976 (0.909–1.000)
model2_label,sex,female,268,925,0.973 (0.958–0.985),0.937 (0.916–0.956)
model2_label,sex,male,290,1045,0.979 (0.966–0.988),0.945 (0.931–0.960)
model2_label,site,p1,290,490,0.974 (0.953–0.987),0.945 (0.923–0.965)
model2_label,site,p2,321,584,0.980 (0.966–0.990),0.940 (0.918–0.959)
model2_label,site,p3,273,459,0.977 (0.956–0.991),0.943 (0.923–0.962)
model2_label,site,p4,259,437,0.976 (0.954–0.991),0.938 (0.915–0.960)
model2_label,duration_tertile,long,323,656,0.939 (0.890–0.976),0.971 (0.957–0.983)
model2_label,duration_tertile,medium,322,656,0.976 (0.957–0.989),0.960 (0.945–0.974)
model2_label,duration_tertile,short,243,658,0.973 (0.960–0.983),0.894 (0.867–0.921)
model1_label,age_band,3-<6 y,248,825,0.979 (0.963–0.990),0.945 (0.927–0.961)
model1_label,age_band,6-<12 y,183,587,0.969 (0.936–0.987),0.937 (0.916–0.958)
model1_label,age_band,<3 y,110,517,0.983 (0.972–0.992),0.917 (0.890–0.943)
model1_label,age_band,>=12 y,18,41,0.979 (0.952–0.991),0.976 (0.909–1.000)
model1_label,sex,female,268,925,0.979 (0.968–0.988),0.934 (0.914–0.952)
model1_label,sex,male,290,1045,0.981 (0.968–0.989),0.938 (0.922–0.953)
model1_label,site,p1,290,490,0.975 (0.956–0.988),0.929 (0.902–0.953)
model1_label,site,p2,321,584,0.985 (0.975–0.993),0.940 (0.919–0.959)
model1_label,site,p3,273,459,0.977 (0.955–0.992),0.939 (0.917–0.959)
model1_label,site,p4,259,437,0.983 (0.968–0.994),0.936 (0.912–0.958)
model1_label,duration_tertile,long,323,656,0.955 (0.912–0.985),0.966 (0.952–0.980)
model1_label,duration_tertile,medium,322,656,0.974 (0.957–0.988),0.950 (0.933–0.965)
model1_label,duration_tertile,short,243,658,0.980 (0.969–0.988),0.892 (0.864–0.920)
model3_label,age_band,3-<6 y,248,825,0.877 (0.843–0.905),0.719 (0.670–0.766)
model3_label,age_band,6-<12 y,183,587,0.929 (0.901–0.952),0.811 (0.764–0.851)
model3_label,age_band,<3 y,110,517,0.968 (0.944–0.983),0.888 (0.839–0.927)
model3_label,age_band,>=12 y,18,41,0.969 (0.896–0.997),0.805 (0.600–0.942)
model3_label,sex,female,268,925,0.908 (0.882–0.932),0.791 (0.750–0.831)
model3_label,sex,male,290,1045,0.931 (0.908–0.949),0.793 (0.752–0.832)
model3_label,site,p1,290,490,0.905 (0.875–0.932),0.763 (0.715–0.807)
model3_label,site,p2,321,584,0.927 (0.902–0.947),0.791 (0.746–0.832)
model3_label,site,p3,273,459,0.926 (0.900–0.950),0.804 (0.759–0.845)
model3_label,site,p4,259,437,0.938 (0.915–0.957),0.815 (0.772–0.856)
model3_label,duration_tertile,long,323,656,0.897 (0.872–0.919),0.732 (0.687–0.776)
model3_label,duration_tertile,medium,322,656,0.899 (0.872–0.922),0.759 (0.716–0.800)
model3_label,duration_tertile,short,243,658,0.964 (0.943–0.977),0.886 (0.852–0.914)
