arm,task,level,auc,lo,hi
L0,Screening,Event level,0.9653786954351322,0.9353486056191269,0.9807911671751223
L0,Screening,Patient level,0.89,0.8076765447667087,0.9590837832717628
L0,Sound pattern,Event level,0.9630854150764566,0.9432945284448087,0.9741667370478394
L0,Sound pattern,Patient level,0.8395337301587301,0.7599272928496885,0.9137584247816101
L0,Disease group,Event level,0.7037466137088789,0.5707560590957163,0.7972866596751843
L0,Disease group,Patient level,0.621940216295055,0.5019668422538728,0.7401006593714926
L1,Screening,Event level,0.9625325863885962,0.9330220207581875,0.9760538926645439
L1,Screening,Patient level,0.8841666666666667,0.7945795067038672,0.9555753968253966
L1,Sound pattern,Event level,0.9603143662450844,0.9381547248941855,0.9731705365872553
L1,Sound pattern,Patient level,0.8311160714285714,0.7449906167957072,0.9108967687684643
L1,Disease group,Event level,0.6795622325834335,0.5533273448993837,0.7696029822404648
L1,Disease group,Patient level,0.6040343915343915,0.4961212002135813,0.7153300259664699
L2,Screening,Event level,0.9768877201135778,0.9670530782445976,0.9840555063633408
L2,Screening,Patient level,0.9435483870967742,0.9211088762428048,0.9636511070637083
L2,Sound pattern,Event level,0.9799561394510107,0.9713112563583169,0.9863212751056838
L2,Sound pattern,Patient level,0.9548893760740725,0.9396121139604616,0.9684533825651832
L2,Disease group,Event level,0.9238004445603454,0.906145309958893,0.9384043911061293
L2,Disease group,Patient level,0.8959589558780108,0.8741176500584767,0.9171216172267785
L3,Screening,Event level,0.96,,
L3,Sound pattern,Event level,0.96,,
L3,Disease group,Event level,0.94,,
L3,Disease group,Patient level,0.91,,
