conf,acc,n,task
0.551145744776432,0.5592948717948718,624,Screening
0.6525073406446281,0.5743519781718963,733,Screening
0.752157191291232,0.7099476439790576,955,Screening
0.8562761652681592,0.8179640718562874,1670,Screening
0.9814183051229937,0.9669658201260264,15711,Screening
0.37243163902982,0.47058823529411764,17,Sound pattern
0.46345102909713176,0.3888888888888889,108,Sound pattern
0.5502880007211066,0.5343065693430656,685,Sound pattern
0.6518445123337163,0.6231691078561917,751,Sound pattern
0.7517991030460077,0.6913319238900634,946,Sound pattern
0.8554765841193717,0.7953667953667953,1554,Sound pattern
0.9835573851598441,0.961489252814739,15632,Sound pattern
0.37778604607834954,0.3360394317193389,3449,Disease group
0.4467562091215542,0.41187603501301157,8454,Disease group
0.5426479052740364,0.48153467377923675,4874,Disease group
0.6388542124154751,0.5633450175262894,1997,Disease group
0.7426055330366456,0.5370629370629371,715,Disease group
0.838150647253964,0.6161616161616161,198,Disease group
0.906983989264194,0.8333333333333334,6,Disease group
