task,class,fpr,tpr
Screening,Adventitious,0.0,0.0
Screening,Adventitious,0.00012198097096852891,0.03184713375796178
Screening,Adventitious,0.00024396194193705782,0.04883227176220807
Screening,Adventitious,0.00036594291290558675,0.06915377616014559
Screening,Adventitious,0.0005489143693583801,0.11313315134971186
Screening,Adventitious,0.0006099048548426446,0.1164695177434031
Screening,Adventitious,0.000670895340326909,0.12253563845920534
Screening,Adventitious,0.000670895340326909,0.13102820746132848
Screening,Adventitious,0.000670895340326909,0.1461935092508341
Screening,Adventitious,0.0007318858258111735,0.1562026084319078
Screening,Adventitious,0.0009148572822639668,0.1731877464361541
Screening,Adventitious,0.0010978287387167602,0.17986047922353654
Screening,Adventitious,0.0012808001951695536,0.20564149226569609
Screening,Adventitious,0.0014027811661380825,0.22020018198362148
Screening,Adventitious,0.0014027811661380825,0.22505307855626328
Screening,Adventitious,0.0015247621371066115,0.2559902942068547
Screening,Adventitious,0.0017077335935594047,0.27661510464058237
Screening,Adventitious,0.001890705050012198,0.30846223839854414
Screening,Adventitious,0.0020736765064649915,0.32908704883227174
Screening,Adventitious,0.0021956574774335204,0.33636639369123444
Screening,Adventitious,0.0023786289338863136,0.34576888080072793
Screening,Adventitious,0.002561600390339107,0.35274491962390053
Screening,Adventitious,0.0027445718467919004,0.3597209584470731
Screening,Adventitious,0.002927543303244694,0.36578707916287534
Screening,Adventitious,0.003049524274213223,0.3812556869881711
Screening,Adventitious,0.003232495730666016,0.3942978465271459
Screening,Adventitious,0.0034154671871188093,0.40248710949347893
Screening,Adventitious,0.003598438643571603,0.40552016985138006
Screening,Adventitious,0.003903391070992925,0.41310282074613286
Screening,Adventitious,0.004025372041961454,0.41583257506824384
Screening,Adventitious,0.004208343498414247,0.42584167424931757
Screening,Adventitious,0.004452305440351305,0.44100697603882316
Screening,Adventitious,0.004635276896804099,0.44494995450409464
Screening,Adventitious,0.004818248353256892,0.44798301486199577
Screening,Adventitious,0.004940229324225421,0.45526235972095846
Screening,Adventitious,0.005123200780678214,0.4589020321504398
Screening,Adventitious,0.005306172237131007,0.4661813770094025
Screening,Adventitious,0.005489143693583801,0.47042766151046406
Screening,Adventitious,0.005672115150036594,0.4764937822262663
Screening,Adventitious,0.005916077091973652,0.48346982104943886
Screening,Adventitious,0.006038058062942181,0.4895359417652411
Screening,Adventitious,0.006221029519394974,0.4913557779799818
Screening,Adventitious,0.006464991461332032,0.4962086745526236
Screening,Adventitious,0.006647962917784826,0.49984834698210495
Screening,Adventitious,0.006891924859721884,0.5019714892326357
Screening,Adventitious,0.007013905830690412,0.5047012435547468
Screening,Adventitious,0.007196877287143206,0.5116772823779193
Screening,Adventitious,0.007379848743595999,0.5144070367000303
Screening,Adventitious,0.007745791656501586,0.5159235668789809
Screening,Adventitious,0.007928763112954379,0.5198665453442524
Screening,Adventitious,0.008172725054891437,0.5238095238095238
Screening,Adventitious,0.00835569651134423,0.5256293600242645
Screening,Adventitious,0.008599658453281289,0.5277525022747953
Screening,Adventitious,0.008782629909734082,0.5292690324537458
Screening,Adventitious,0.008965601366186874,0.5319987867758569
Screening,Adventitious,0.009087582337155405,0.5368516833484986
Screening,Adventitious,0.009270553793608197,0.5389748255990294
Screening,Adventitious,0.009514515735545254,0.54049135577798
Screening,Adventitious,0.009819468162966577,0.5420078859569305
Screening,Adventitious,0.01000243961941937,0.5456475583864119
Screening,Adventitious,0.010185411075872165,0.5483773127085229
Screening,Adventitious,0.010368382532324957,0.5532302092811647
Screening,Adventitious,0.01067333495974628,0.5577797998180164
Screening,Adventitious,0.010917296901683337,0.5602062481043373
Screening,Adventitious,0.01110026835813613,0.5617227782832879
Screening,Adventitious,0.011466211271041717,0.5693054291780406
Screening,Adventitious,0.011588192242010246,0.570215347285411
Screening,Adventitious,0.011832154183947305,0.5726417955717319
Screening,Adventitious,0.012015125640400097,0.5741583257506825
Screening,Adventitious,0.012381068553305685,0.5771913861085836
Screening,Adventitious,0.012747011466211272,0.5805277525022748
Screening,Adventitious,0.012990973408148329,0.5899302396117683
Screening,Adventitious,0.013234935350085388,0.5932666060054596
Screening,Adventitious,0.01341790680653818,0.5944798301486199
Screening,Adventitious,0.013600878262990973,0.5972095844707309
Screening,Adventitious,0.013783849719443768,0.5996360327570519
Screening,Adventitious,0.013905830690412296,0.6008492569002123
Screening,Adventitious,0.014088802146865089,0.6020624810433728
Screening,Adventitious,0.014332764088802148,0.6038823172581135
Screening,Adventitious,0.014637716516223469,0.605398847437064
Screening,Adventitious,0.014881678458160527,0.6090385198665453
Screening,Adventitious,0.015186630885581849,0.6144980285107674
Screening,Adventitious,0.0156135642839717,0.6169244767970883
Screening,Adventitious,0.015857526225908757,0.6184410069760389
Screening,Adventitious,0.01604049768236155,0.6199575371549894
Screening,Adventitious,0.016528421566235667,0.6226872914771004
Screening,Adventitious,0.01671139302268846,0.6239005156202608
Screening,Adventitious,0.01683337399365699,0.6293600242644829
Screening,Adventitious,0.01701634545010978,0.632393084622384
Screening,Adventitious,0.017199316906562578,0.6339096148013346
Screening,Adventitious,0.01738228836301537,0.6360327570518653
Screening,Adventitious,0.01793120273237375,0.6375492872308159
Screening,Adventitious,0.01811417418882654,0.6393691234455565
Screening,Adventitious,0.018419126616247866,0.6408856536245071
Screening,Adventitious,0.01860209807270066,0.643312101910828
Screening,Adventitious,0.01890705050012198,0.6445253260539885
Screening,Adventitious,0.019090021956574773,0.6463451622687292
Screening,Adventitious,0.01927299341302757,0.6493782226266303
Screening,Adventitious,0.019516955354964626,0.6511980588413709
Screening,Adventitious,0.019760917296901683,0.6539278131634819
Screening,Adventitious,0.02012686020980727,0.6551410373066424
Screening,Adventitious,0.020309831666260065,0.6563542614498028
Screening,Adventitious,0.020492803122712858,0.659387321807704
Screening,Adventitious,0.020858746035618443,0.6648468304519259
Screening,Adventitious,0.021041717492071236,0.6672732787382469
Screening,Adventitious,0.021407660404976825,0.6678798908098271
Screening,Adventitious,0.021590631861429618,0.6700030330603579
Screening,Adventitious,0.02177360331788241,0.6727327873824689
Screening,Adventitious,0.022017565259819467,0.6739460115256294
Screening,Adventitious,0.022383508172725056,0.6751592356687898
Screening,Adventitious,0.02256647962917785,0.6766757658477404
Screening,Adventitious,0.0229934130275677,0.6778889899909009
Screening,Adventitious,0.02329836545498902,0.6797088262056415
Screening,Adventitious,0.023420346425957552,0.681225356384592
Screening,Adventitious,0.023847279824347402,0.6827418865635426
Screening,Adventitious,0.024335203708221516,0.6836518046709129
Screening,Adventitious,0.02464015613564284,0.6857749469214437
Screening,Adventitious,0.024823127592095633,0.6869881710646042
Screening,Adventitious,0.024945108563064162,0.6882013952077647
Screening,Adventitious,0.025250060990485483,0.6900212314225053
Screening,Adventitious,0.025616003903391072,0.6906278434940856
Screening,Adventitious,0.025920956330812393,0.692144373673036
Screening,Adventitious,0.026103927787265186,0.6954807400667273
Screening,Adventitious,0.026225908758233715,0.6963906581740976
Screening,Adventitious,0.02653086118565504,0.6991204124962087
Screening,Adventitious,0.026896804098560625,0.7021534728541098
Screening,Adventitious,0.02738472798243474,0.7033666969972703
Screening,Adventitious,0.02793364235179312,0.705186533212011
Screening,Adventitious,0.028177604293730178,0.7073096754625418
Screening,Adventitious,0.028421566235667235,0.7097361237488626
Screening,Adventitious,0.028909490119541352,0.7118592659993934
Screening,Adventitious,0.029214442546962673,0.7130724901425538
Screening,Adventitious,0.029397414003415466,0.7154989384288747
Screening,Adventitious,0.02970236643083679,0.7182286927509858
Screening,Adventitious,0.03012929982922664,0.7200485289657265
Screening,Adventitious,0.030373261771163697,0.721868365180467
Screening,Adventitious,0.03080019516955355,0.7230815893236275
Screening,Adventitious,0.031166138082459136,0.7245981195025781
Screening,Adventitious,0.031593071480848986,0.7264179557173188
Screening,Adventitious,0.03189802390827031,0.7273278738246891
Screening,Adventitious,0.032324957306660164,0.7285410979678496
Screening,Adventitious,0.03256891924859722,0.7291477100394298
Screening,Adventitious,0.03323981458892413,0.7303609341825902
Screening,Adventitious,0.033788728958282506,0.7318774643615408
Screening,Adventitious,0.033910709929251034,0.7327873824689112
Screening,Adventitious,0.034581605269577945,0.734910524719442
Screening,Adventitious,0.0350085386679678,0.7361237488626023
Screening,Adventitious,0.03537448158087338,0.7370336669699727
Screening,Adventitious,0.03555745303732618,0.737943585077343
Screening,Adventitious,0.035923395950231765,0.7388535031847133
Screening,Adventitious,0.03622834837765308,0.7412799514710343
Screening,Adventitious,0.03689924371797999,0.7424931756141947
Screening,Adventitious,0.0375701390583069,0.7437063997573552
Screening,Adventitious,0.03799707245669676,0.7455262359720959
Screening,Adventitious,0.038241034398633814,0.7470427661510464
Screening,Adventitious,0.038789948767992195,0.7482559902942069
Screening,Adventitious,0.038972920224444985,0.7491659084015772
Screening,Adventitious,0.039460844108319106,0.7506824385805277
Screening,Adventitious,0.03988777750670895,0.7515923566878981
Screening,Adventitious,0.040375701390583066,0.7531088868668486
Screening,Adventitious,0.04061966333252013,0.7546254170457992
Screening,Adventitious,0.040985606245425715,0.7561419472247498
Screening,Adventitious,0.04214442546962674,0.75674855929633
Screening,Adventitious,0.04299829226640644,0.7588717015468608
Screening,Adventitious,0.04373017809221762,0.7603882317258114
Screening,Adventitious,0.04501097828738717,0.7612981498331817
Screening,Adventitious,0.04659673090997804,0.7631179860479224
Screening,Adventitious,0.04732861673578922,0.7643312101910829
Screening,Adventitious,0.04799951207611613,0.7658477403700333
Screening,Adventitious,0.048426445474505975,0.7670609645131938
Screening,Adventitious,0.0487313979019273,0.7682741886563542
Screening,Adventitious,0.049097340814832885,0.7707006369426752
Screening,Adventitious,0.049585264698707,0.7722171671216257
Screening,Adventitious,0.05025616003903391,0.7737336973005763
Screening,Adventitious,0.050622102951939495,0.7752502274795269
Screening,Adventitious,0.05098804586484509,0.7770700636942676
Screening,Adventitious,0.05159795071968773,0.778283287837428
Screening,Adventitious,0.052695779458404486,0.7794965119805884
Screening,Adventitious,0.053427665284215664,0.7807097361237488
Screening,Adventitious,0.05519638936325933,0.7819229602669093
Screening,Adventitious,0.055562332276164916,0.7834394904458599
Screening,Adventitious,0.056172237131007566,0.7852593266606005
Screening,Adventitious,0.05684313247133447,0.7861692447679709
Screening,Adventitious,0.05830690412295682,0.7870791628753412
Screening,Adventitious,0.05879482800683093,0.789202305125872
Screening,Adventitious,0.059221761405220785,0.7913254473764028
Screening,Adventitious,0.060014637716516224,0.7922353654837732
Screening,Adventitious,0.06031959014393755,0.7940552016985138
Screening,Adventitious,0.060624542571358866,0.794661813770094
Screening,Adventitious,0.06111246645523298,0.7976948741279951
Screening,Adventitious,0.0616003903391071,0.7986047922353655
Screening,Adventitious,0.06178336179555989,0.800121322414316
Screening,Adventitious,0.06227128567943401,0.8013345465574765
Screening,Adventitious,0.0628202000487924,0.8028510767364271
Screening,Adventitious,0.06330812393266651,0.8037609948437974
Screening,Adventitious,0.06410100024396194,0.8049742189869579
Screening,Adventitious,0.06489387655525738,0.8064907491659083
Screening,Adventitious,0.06580873383752135,0.8074006672732787
Screening,Adventitious,0.06623566723591119,0.808310585380649
Screening,Adventitious,0.06678458160526958,0.8098271155595996
Screening,Adventitious,0.06733349597462795,0.8110403397027601
Screening,Adventitious,0.06782141985850207,0.8128601759175007
Screening,Adventitious,0.06818736277140766,0.8140734000606612
Screening,Adventitious,0.06867528665528178,0.8152866242038217
Screening,Adventitious,0.07056599170529397,0.8164998483469821
Screening,Adventitious,0.0715418394730422,0.8174097664543525
Screening,Adventitious,0.07209075384240059,0.8192296026690931
Screening,Adventitious,0.0729446206391803,0.8204428268122536
Screening,Adventitious,0.07379848743595999,0.8213527449196238
Screening,Adventitious,0.07465235423273969,0.8222626630269942
Screening,Adventitious,0.07489631617467675,0.8237791932059448
Screening,Adventitious,0.07599414491339351,0.8246891113133151
Screening,Adventitious,0.07751890705050012,0.8262056414922657
Screening,Adventitious,0.07873871676018541,0.827115559599636
Screening,Adventitious,0.07904366918760673,0.8277221716712163
Screening,Adventitious,0.07953159307148085,0.8292387018501668
Screening,Adventitious,0.08001951695535496,0.8304519259933273
Screening,Adventitious,0.08044645035374481,0.8316651501364877
Screening,Adventitious,0.08130031715052452,0.8331816803154383
Screening,Adventitious,0.08191022200536716,0.8340915984228087
Screening,Adventitious,0.08227616491827275,0.8346982104943889
Screening,Adventitious,0.08313003171505245,0.8356081286017591
Screening,Adventitious,0.08349597462795803,0.8368213527449196
Screening,Adventitious,0.08386191754086363,0.8377312708522899
Screening,Adventitious,0.08471578433764333,0.8386411889596603
Screening,Adventitious,0.0854476701634545,0.8392478010312405
Screening,Adventitious,0.08581361307636008,0.840461025174401
Screening,Adventitious,0.08611856550378141,0.8419775553533515
Screening,Adventitious,0.08672847035862405,0.8428874734607219
Screening,Adventitious,0.08739936569895096,0.8450106157112527
Screening,Adventitious,0.08800927055379361,0.8456172277828329
Screening,Adventitious,0.08886313735057332,0.8465271458902032
Screening,Adventitious,0.08929007074896317,0.8474370639975736
Screening,Adventitious,0.08953403269090023,0.8483469821049439
Screening,Adventitious,0.09020492803122712,0.8492569002123143
Screening,Adventitious,0.09111978531349109,0.8504701243554746
Screening,Adventitious,0.09203464259575506,0.851380042462845
Screening,Adventitious,0.09252256647962918,0.8525932666060054
Screening,Adventitious,0.0926445474505977,0.8535031847133758
Screening,Adventitious,0.09325445230544036,0.8544131028207461
Screening,Adventitious,0.09374237618931447,0.8550197148923263
Screening,Adventitious,0.09551110026835814,0.8562329390354868
Screening,Adventitious,0.09673090997804343,0.8580527752502275
Screening,Adventitious,0.09740180531837034,0.8595693054291781
Screening,Adventitious,0.09819468162966577,0.8610858356081286
Screening,Adventitious,0.09941449133935105,0.8622990597512891
Screening,Adventitious,0.10014637716516224,0.8629056718228693
Screening,Adventitious,0.10112222493291047,0.8638155899302397
Screening,Adventitious,0.10154915833130032,0.8650288140734
Screening,Adventitious,0.10215906318614296,0.8659387321807704
Screening,Adventitious,0.10319590143937546,0.8671519563239308
Screening,Adventitious,0.10441571114906074,0.8683651804670913
Screening,Adventitious,0.10551353988777751,0.8698817106460418
Screening,Adventitious,0.10618443522810442,0.8707916287534122
Screening,Adventitious,0.10697731153939985,0.8717015468607825
Screening,Adventitious,0.10862405464747499,0.872914771003943
Screening,Adventitious,0.10990485484264455,0.8735213830755232
Screening,Adventitious,0.11173456940717248,0.8744313011828936
Screening,Adventitious,0.11362527445718468,0.875644525326054
Screening,Adventitious,0.11423517931202733,0.8768577494692145
Screening,Adventitious,0.11502805562332276,0.8780709736123748
Screening,Adventitious,0.11588192242010247,0.8789808917197452
Screening,Adventitious,0.11649182727494511,0.8804974218986957
Screening,Adventitious,0.11813857038302025,0.8814073400060661
Screening,Adventitious,0.11838253232495731,0.8826205641492265
Screening,Adventitious,0.11948036106367407,0.8835304822565969
Screening,Adventitious,0.12039521834593804,0.8847437063997573
Screening,Adventitious,0.1219809709685289,0.8856536245071277
Screening,Adventitious,0.12240790436691876,0.886563542614498
Screening,Adventitious,0.12313979019272993,0.8877767667576585
Screening,Adventitious,0.12448158087338375,0.8889899909008189
Screening,Adventitious,0.1259453525250061,0.8898999090081893
Screening,Adventitious,0.12740912417662845,0.8905065210797695
Screening,Adventitious,0.12948280068309342,0.8914164391871399
Screening,Adventitious,0.13033666747987313,0.8923263572945102
Screening,Adventitious,0.13186142961697975,0.8932362754018806
Screening,Adventitious,0.1355818492315199,0.8941461935092508
Screening,Adventitious,0.13655769699926812,0.894752805580831
Screening,Adventitious,0.13808245913637474,0.8959660297239915
Screening,Adventitious,0.13918028787509149,0.8968759478313618
Screening,Adventitious,0.13997316418638692,0.8980891719745223
Screening,Adventitious,0.14119297389607222,0.8993023961176827
Screening,Adventitious,0.14241278360575751,0.9002123142250531
Screening,Adventitious,0.14442546962673822,0.9011222323324234
Screening,Adventitious,0.14527933642351792,0.9020321504397938
Screening,Adventitious,0.14607221273481336,0.9029420685471641
Screening,Adventitious,0.14753598438643573,0.9038519866545345
Screening,Adventitious,0.14814588924127836,0.9044585987261147
Screening,Adventitious,0.1489387655525738,0.905368516833485
Screening,Adventitious,0.15009758477677482,0.9062784349408554
Screening,Adventitious,0.150829470602586,0.9071883530482256
Screening,Adventitious,0.15333008050744085,0.908098271155596
Screening,Adventitious,0.15552573798487435,0.9093114952987564
Screening,Adventitious,0.15692851915101244,0.9102214134061268
Screening,Adventitious,0.16229568187362772,0.9111313315134971
Screening,Adventitious,0.16485728226396681,0.9120412496208674
Screening,Adventitious,0.16528421566235668,0.9129511677282378
Screening,Adventitious,0.16656501585752623,0.9138610858356081
Screening,Adventitious,0.16839473042205416,0.9144676979071884
Screening,Adventitious,0.17242010246401562,0.9153776160145587
Screening,Adventitious,0.17284703586240546,0.916287534121929
Screening,Adventitious,0.1744937789704806,0.9175007582650895
Screening,Adventitious,0.17760429373017808,0.9184106763724598
Screening,Adventitious,0.17992193217858013,0.9190172884440401
Screening,Adventitious,0.18114174188826543,0.9199272065514104
Screening,Adventitious,0.18388631373505734,0.9208371246587808
Screening,Adventitious,0.18504513295925837,0.921747042766151
Screening,Adventitious,0.18882654305928276,0.9226569608735213
Screening,Adventitious,0.1908392290802635,0.9232635729451016
Screening,Adventitious,0.19224201024640156,0.9241734910524719
Screening,Adventitious,0.1957794584044889,0.9250834091598423
Screening,Adventitious,0.19815808733837523,0.9259933272672126
Screening,Adventitious,0.20047572578677728,0.9269032453745829
Screening,Adventitious,0.2010856306416199,0.9275098574461632
Screening,Adventitious,0.20456208831422298,0.9284197755535335
Screening,Adventitious,0.20736765064649915,0.9293296936609039
Screening,Adventitious,0.209868260551354,0.9302396117682742
Screening,Adventitious,0.2139546230787997,0.9311495298756445
Screening,Adventitious,0.21755306172237132,0.932362754018805
Screening,Adventitious,0.22090753842400584,0.9329693660903852
Screening,Adventitious,0.22395706269821908,0.9338792841977556
Screening,Adventitious,0.2249329104659673,0.9347892023051259
Screening,Adventitious,0.22657965357404244,0.9356991204124963
Screening,Adventitious,0.2306050256160039,0.9366090385198665
Screening,Adventitious,0.23395950231763846,0.9372156505914467
Screening,Adventitious,0.2360941693095877,0.9381255686988171
Screening,Adventitious,0.238472798243474,0.9390354868061874
Screening,Adventitious,0.2438399609660893,0.9399454049135578
Screening,Adventitious,0.2487801902903147,0.9408553230209281
Screening,Adventitious,0.2513417906806538,0.9414619350925083
Screening,Adventitious,0.2531105147596975,0.9423718531998787
Screening,Adventitious,0.25695291534520615,0.943281771307249
Screening,Adventitious,0.2581727250548914,0.9441916894146194
Screening,Adventitious,0.2628080019516955,0.9454049135577798
Screening,Adventitious,0.2670773359355941,0.94601152562936
Screening,Adventitious,0.2712856794340083,0.9469214437367304
Screening,Adventitious,0.2755550134179068,0.9478313618441007
Screening,Adventitious,0.27665284215662356,0.9490445859872612
Screening,Adventitious,0.2883020248841181,0.9499545040946314
Screening,Adventitious,0.29092461575994144,0.9508644222020018
Screening,Adventitious,0.30141497926323496,0.9520776463451622
Screening,Adventitious,0.30605025616003906,0.9529875644525326
Screening,Adventitious,0.30916077091973654,0.9538974825599029
Screening,Adventitious,0.3158697243230056,0.9548074006672733
Screening,Adventitious,0.3192851915101244,0.9557173187746436
Screening,Adventitious,0.31995608685045135,0.9563239308462238
Screening,Adventitious,0.3233105635520859,0.9572338489535942
Screening,Adventitious,0.32696999268114174,0.9581437670609645
Screening,Adventitious,0.33056843132471336,0.9590536851683349
Screening,Adventitious,0.33849719443766774,0.9599636032757052
Screening,Adventitious,0.34307148084898753,0.9605702153472854
Screening,Adventitious,0.34929251036838255,0.9617834394904459
Screening,Adventitious,0.35423273969260793,0.9629966636336063
Screening,Adventitious,0.35728226396682117,0.9639065817409767
Screening,Adventitious,0.35868504513295923,0.9648164998483469
Screening,Adventitious,0.36045376921200295,0.9654231119199272
Screening,Adventitious,0.3637472554281532,0.9663330300272975
Screening,Adventitious,0.3705781898023908,0.9672429481346679
Screening,Adventitious,0.37655525737984874,0.9681528662420382
Screening,Adventitious,0.3774091241766284,0.9690627843494085
