task,model,auc,lo,hi,is_full
Screening,Event duration only,0.7790152106608038,0.7404240253620977,0.8126219752128445,False
Screening,Demographics only,0.6526511011992169,0.5780713720582257,0.7148530330689155,False
Screening,Own-task base model,0.959914017289554,0.9508415096764979,0.9679526014377914,False
Screening,All acoustic probabilities,0.9515075878675513,0.9411580561657928,0.9608480140372309,False
Screening,Full stack,0.9481105454676761,0.9364359095523488,0.9582756478861311,True
Sound pattern,Event duration only,0.7480989376715462,0.7149297790257284,0.7782096869281931,False
Sound pattern,Demographics only,0.6190236001048396,0.5600549886005602,0.6685719879616688,False
Sound pattern,Own-task base model,0.9362849382671428,0.9246466405142638,0.9468403540977682,False
Sound pattern,All acoustic probabilities,0.9485640400399556,0.9396046358927308,0.9567501356081756,False
Sound pattern,Full stack,0.949908139010527,0.939895543967735,0.9583162892270722,True
Disease group,Event duration only,0.5681296587973962,0.5429520561877322,0.5931256899295039,False
Disease group,Demographics only,0.5166551903167157,0.4740164779698227,0.5630230681327388,False
Disease group,Own-task base model,0.5926776824950768,0.565038782562033,0.6207450832579942,False
Disease group,All acoustic probabilities,0.5943830656027097,0.5659799385549046,0.6227525722584859,False
Disease group,Full stack,0.5832004819188978,0.5426985377727419,0.6238159394367662,True
