task,class,n,time,band,value
Screening,Normal,141,0.08333333333333333,1,0.349805
Screening,Normal,141,0.08333333333333333,2,0.3489165
Screening,Normal,141,0.08333333333333333,3,0.15505256
Screening,Normal,141,0.08333333333333333,4,0.10854793
Screening,Normal,141,0.08333333333333333,5,0.14388783
Screening,Normal,141,0.08333333333333333,6,0.5728356
Screening,Normal,141,0.08333333333333333,7,0.4373419
Screening,Normal,141,0.08333333333333333,8,0.31011942
Screening,Normal,141,0.25,1,0.36824673
Screening,Normal,141,0.25,2,0.3251067
Screening,Normal,141,0.25,3,0.12174358
Screening,Normal,141,0.25,4,0.18207818
Screening,Normal,141,0.25,5,0.14243522
Screening,Normal,141,0.25,6,0.68331623
Screening,Normal,141,0.25,7,0.5445727
Screening,Normal,141,0.25,8,0.4985453
Screening,Normal,141,0.4166666666666667,1,0.47657576
Screening,Normal,141,0.4166666666666667,2,0.33575907
Screening,Normal,141,0.4166666666666667,3,0.14340779
Screening,Normal,141,0.4166666666666667,4,0.16025001
Screening,Normal,141,0.4166666666666667,5,0.11056904
Screening,Normal,141,0.4166666666666667,6,0.69072425
Screening,Normal,141,0.4166666666666667,7,0.55122685
Screening,Normal,141,0.4166666666666667,8,0.5690285
Screening,Normal,141,0.5833333333333334,1,0.500568
Screening,Normal,141,0.5833333333333334,2,0.38938457
Screening,Normal,141,0.5833333333333334,3,0.07842349
Screening,Normal,141,0.5833333333333334,4,0.086424515
Screening,Normal,141,0.5833333333333334,5,0.10187501
Screening,Normal,141,0.5833333333333334,6,0.77974075
Screening,Normal,141,0.5833333333333334,7,0.76877177
Screening,Normal,141,0.5833333333333334,8,0.6136552
Screening,Normal,141,0.75,1,0.41723448
Screening,Normal,141,0.75,2,0.347791
Screening,Normal,141,0.75,3,0.17535776
Screening,Normal,141,0.75,4,0.17829528
Screening,Normal,141,0.75,5,0.24563225
Screening,Normal,141,0.75,6,0.74059117
Screening,Normal,141,0.75,7,0.88861644
Screening,Normal,141,0.75,8,0.74322104
Screening,Normal,141,0.9166666666666666,1,0.57202995
Screening,Normal,141,0.9166666666666666,2,0.27504224
Screening,Normal,141,0.9166666666666666,3,0.12525107
Screening,Normal,141,0.9166666666666666,4,0.12221425
Screening,Normal,141,0.9166666666666666,5,0.17191395
Screening,Normal,141,0.9166666666666666,6,0.5839568
Screening,Normal,141,0.9166666666666666,7,0.9162419
Screening,Normal,141,0.9166666666666666,8,0.8410414
Screening,Normal,141,1.0833333333333333,1,0.5540312
Screening,Normal,141,1.0833333333333333,2,0.2712304
Screening,Normal,141,1.0833333333333333,3,0.19774412
Screening,Normal,141,1.0833333333333333,4,0.25599474
Screening,Normal,141,1.0833333333333333,5,0.1528292
Screening,Normal,141,1.0833333333333333,6,0.6319944
Screening,Normal,141,1.0833333333333333,7,0.8456179
Screening,Normal,141,1.0833333333333333,8,0.6784242
Screening,Normal,141,1.25,1,0.4159098
Screening,Normal,141,1.25,2,0.21684697
Screening,Normal,141,1.25,3,0.15073964
Screening,Normal,141,1.25,4,0.20344317
Screening,Normal,141,1.25,5,0.14043492
Screening,Normal,141,1.25,6,0.5793958
Screening,Normal,141,1.25,7,0.7661973
Screening,Normal,141,1.25,8,0.5419582
Screening,Normal,141,1.4166666666666667,1,0.4120921
Screening,Normal,141,1.4166666666666667,2,0.19892877
Screening,Normal,141,1.4166666666666667,3,0.124155656
Screening,Normal,141,1.4166666666666667,4,0.17432843
Screening,Normal,141,1.4166666666666667,5,0.12597916
Screening,Normal,141,1.4166666666666667,6,0.87666774
Screening,Normal,141,1.4166666666666667,7,1.0
Screening,Normal,141,1.4166666666666667,8,0.6811263
Screening,Normal,141,1.5833333333333333,1,0.4194288
Screening,Normal,141,1.5833333333333333,2,0.27930573
Screening,Normal,141,1.5833333333333333,3,0.17135413
Screening,Normal,141,1.5833333333333333,4,0.22070423
Screening,Normal,141,1.5833333333333333,5,0.16769183
Screening,Normal,141,1.5833333333333333,6,0.6207567
Screening,Normal,141,1.5833333333333333,7,0.730158
Screening,Normal,141,1.5833333333333333,8,0.60127896
Screening,Normal,141,1.75,1,0.36201715
Screening,Normal,141,1.75,2,0.2715335
Screening,Normal,141,1.75,3,0.1669764
Screening,Normal,141,1.75,4,0.19592126
Screening,Normal,141,1.75,5,0.1571163
Screening,Normal,141,1.75,6,0.6865563
Screening,Normal,141,1.75,7,0.8416653
Screening,Normal,141,1.75,8,0.63786936
Screening,Normal,141,1.9166666666666667,1,0.39370972
Screening,Normal,141,1.9166666666666667,2,0.3153836
Screening,Normal,141,1.9166666666666667,3,0.1666418
Screening,Normal,141,1.9166666666666667,4,0.30386597
Screening,Normal,141,1.9166666666666667,5,0.7747652
Screening,Normal,141,1.9166666666666667,6,0.7497374
Screening,Normal,141,1.9166666666666667,7,0.70528674
Screening,Normal,141,1.9166666666666667,8,0.6627631
Screening,Adventitious,125,0.08333333333333333,1,0.086440146
Screening,Adventitious,125,0.08333333333333333,2,0.111245364
Screening,Adventitious,125,0.08333333333333333,3,0.124097794
Screening,Adventitious,125,0.08333333333333333,4,0.10454105
Screening,Adventitious,125,0.08333333333333333,5,0.034650177
Screening,Adventitious,125,0.08333333333333333,6,0.032470863
Screening,Adventitious,125,0.08333333333333333,7,0.02121362
Screening,Adventitious,125,0.08333333333333333,8,0.012900517
Screening,Adventitious,125,0.25,1,0.07360318
Screening,Adventitious,125,0.25,2,0.08322193
Screening,Adventitious,125,0.25,3,0.11693899
Screening,Adventitious,125,0.25,4,0.10064898
Screening,Adventitious,125,0.25,5,0.048445724
Screening,Adventitious,125,0.25,6,0.042008966
Screening,Adventitious,125,0.25,7,0.026816068
Screening,Adventitious,125,0.25,8,0.029151402
Screening,Adventitious,125,0.4166666666666667,1,0.2466051
Screening,Adventitious,125,0.4166666666666667,2,0.1507604
Screening,Adventitious,125,0.4166666666666667,3,0.065969855
Screening,Adventitious,125,0.4166666666666667,4,0.067470565
Screening,Adventitious,125,0.4166666666666667,5,0.06481444
Screening,Adventitious,125,0.4166666666666667,6,0.051487476
Screening,Adventitious,125,0.4166666666666667,7,0.029045248
Screening,Adventitious,125,0.4166666666666667,8,0.010797073
Screening,Adventitious,125,0.5833333333333334,1,0.2714214
Screening,Adventitious,125,0.5833333333333334,2,0.32896578
Screening,Adventitious,125,0.5833333333333334,3,0.1636067
Screening,Adventitious,125,0.5833333333333334,4,0.046614233
Screening,Adventitious,125,0.5833333333333334,5,0.06258337
Screening,Adventitious,125,0.5833333333333334,6,0.04280023
Screening,Adventitious,125,0.5833333333333334,7,0.047116637
Screening,Adventitious,125,0.5833333333333334,8,0.04929606
Screening,Adventitious,125,0.75,1,0.33815303
Screening,Adventitious,125,0.75,2,0.46512175
Screening,Adventitious,125,0.75,3,0.20582664
Screening,Adventitious,125,0.75,4,0.061273552
Screening,Adventitious,125,0.75,5,0.06404785
Screening,Adventitious,125,0.75,6,0.11884973
Screening,Adventitious,125,0.75,7,0.065273255
Screening,Adventitious,125,0.75,8,0.023959965
Screening,Adventitious,125,0.9166666666666666,1,0.25558066
Screening,Adventitious,125,0.9166666666666666,2,1.0
Screening,Adventitious,125,0.9166666666666666,3,0.12964495
Screening,Adventitious,125,0.9166666666666666,4,0.06090875
Screening,Adventitious,125,0.9166666666666666,5,0.05140452
Screening,Adventitious,125,0.9166666666666666,6,0.014292269
Screening,Adventitious,125,0.9166666666666666,7,0.02390467
Screening,Adventitious,125,0.9166666666666666,8,0.04215822
Screening,Adventitious,125,1.0833333333333333,1,0.09963657
Screening,Adventitious,125,1.0833333333333333,2,0.9815091
Screening,Adventitious,125,1.0833333333333333,3,0.03434917
Screening,Adventitious,125,1.0833333333333333,4,0.0054150173
Screening,Adventitious,125,1.0833333333333333,5,0.017711299
Screening,Adventitious,125,1.0833333333333333,6,0.027460065
Screening,Adventitious,125,1.0833333333333333,7,0.0473209
Screening,Adventitious,125,1.0833333333333333,8,0.03923319
Screening,Adventitious,125,1.25,1,0.118524164
Screening,Adventitious,125,1.25,2,0.18697393
Screening,Adventitious,125,1.25,3,0.06162303
Screening,Adventitious,125,1.25,4,0.018272134
Screening,Adventitious,125,1.25,5,0.010099544
Screening,Adventitious,125,1.25,6,0.012020202
Screening,Adventitious,125,1.25,7,0.017891305
Screening,Adventitious,125,1.25,8,0.0022746178
Screening,Adventitious,125,1.4166666666666667,1,0.10367912
Screening,Adventitious,125,1.4166666666666667,2,0.13479504
Screening,Adventitious,125,1.4166666666666667,3,0.114256434
Screening,Adventitious,125,1.4166666666666667,4,0.012363467
Screening,Adventitious,125,1.4166666666666667,5,0.047081146
Screening,Adventitious,125,1.4166666666666667,6,0.028949061
Screening,Adventitious,125,1.4166666666666667,7,0.018930722
Screening,Adventitious,125,1.4166666666666667,8,0.010087259
Screening,Adventitious,125,1.5833333333333333,1,0.06202786
Screening,Adventitious,125,1.5833333333333333,2,0.12796049
Screening,Adventitious,125,1.5833333333333333,3,0.09580121
Screening,Adventitious,125,1.5833333333333333,4,0.0387382
Screening,Adventitious,125,1.5833333333333333,5,0.09103081
Screening,Adventitious,125,1.5833333333333333,6,0.09559534
Screening,Adventitious,125,1.5833333333333333,7,0.10048889
Screening,Adventitious,125,1.5833333333333333,8,0.058261123
Screening,Adventitious,125,1.75,1,0.06362417
Screening,Adventitious,125,1.75,2,0.11858663
Screening,Adventitious,125,1.75,3,0.0971103
Screening,Adventitious,125,1.75,4,0.038073957
Screening,Adventitious,125,1.75,5,0.04381241
Screening,Adventitious,125,1.75,6,0.044100028
Screening,Adventitious,125,1.75,7,0.02807759
Screening,Adventitious,125,1.75,8,0.023604464
Screening,Adventitious,125,1.9166666666666667,1,0.05760662
Screening,Adventitious,125,1.9166666666666667,2,0.20941798
Screening,Adventitious,125,1.9166666666666667,3,0.16853042
Screening,Adventitious,125,1.9166666666666667,4,0.044355083
Screening,Adventitious,125,1.9166666666666667,5,0.0067911455
Screening,Adventitious,125,1.9166666666666667,6,0.017559405
Screening,Adventitious,125,1.9166666666666667,7,0.05343653
Screening,Adventitious,125,1.9166666666666667,8,0.06476826
Sound pattern,Crackles,100,0.08333333333333333,1,0.16181412
Sound pattern,Crackles,100,0.08333333333333333,2,0.14310633
Sound pattern,Crackles,100,0.08333333333333333,3,0.067919455
Sound pattern,Crackles,100,0.08333333333333333,4,0.08443332
Sound pattern,Crackles,100,0.08333333333333333,5,0.08247872
Sound pattern,Crackles,100,0.08333333333333333,6,0.12184094
Sound pattern,Crackles,100,0.08333333333333333,7,0.03630998
Sound pattern,Crackles,100,0.08333333333333333,8,0.027796753
Sound pattern,Crackles,100,0.25,1,0.1767656
Sound pattern,Crackles,100,0.25,2,0.1155483
Sound pattern,Crackles,100,0.25,3,0.07861249
Sound pattern,Crackles,100,0.25,4,0.067457065
Sound pattern,Crackles,100,0.25,5,0.101392716
Sound pattern,Crackles,100,0.25,6,0.0895648
Sound pattern,Crackles,100,0.25,7,0.030428292
Sound pattern,Crackles,100,0.25,8,0.05763403
Sound pattern,Crackles,100,0.4166666666666667,1,0.26014966
Sound pattern,Crackles,100,0.4166666666666667,2,0.17737491
Sound pattern,Crackles,100,0.4166666666666667,3,0.07129089
Sound pattern,Crackles,100,0.4166666666666667,4,0.069217965
Sound pattern,Crackles,100,0.4166666666666667,5,0.09895726
Sound pattern,Crackles,100,0.4166666666666667,6,0.069357224
Sound pattern,Crackles,100,0.4166666666666667,7,0.045961086
Sound pattern,Crackles,100,0.4166666666666667,8,0.050715663
Sound pattern,Crackles,100,0.5833333333333334,1,0.39968103
Sound pattern,Crackles,100,0.5833333333333334,2,0.42906338
Sound pattern,Crackles,100,0.5833333333333334,3,0.19173196
Sound pattern,Crackles,100,0.5833333333333334,4,0.09369787
Sound pattern,Crackles,100,0.5833333333333334,5,0.13122119
Sound pattern,Crackles,100,0.5833333333333334,6,0.14361943
Sound pattern,Crackles,100,0.5833333333333334,7,0.12945114
Sound pattern,Crackles,100,0.5833333333333334,8,0.18688856
Sound pattern,Crackles,100,0.75,1,0.36560276
Sound pattern,Crackles,100,0.75,2,0.42019427
Sound pattern,Crackles,100,0.75,3,0.3485996
Sound pattern,Crackles,100,0.75,4,0.14763212
Sound pattern,Crackles,100,0.75,5,0.15350364
Sound pattern,Crackles,100,0.75,6,0.18434732
Sound pattern,Crackles,100,0.75,7,0.1721834
Sound pattern,Crackles,100,0.75,8,0.2585432
Sound pattern,Crackles,100,0.9166666666666666,1,0.65019673
Sound pattern,Crackles,100,0.9166666666666666,2,1.0
Sound pattern,Crackles,100,0.9166666666666666,3,0.23456672
Sound pattern,Crackles,100,0.9166666666666666,4,0.12191443
Sound pattern,Crackles,100,0.9166666666666666,5,0.084108576
Sound pattern,Crackles,100,0.9166666666666666,6,0.037987057
Sound pattern,Crackles,100,0.9166666666666666,7,0.07463584
Sound pattern,Crackles,100,0.9166666666666666,8,0.14810513
Sound pattern,Crackles,100,1.0833333333333333,1,0.18826172
Sound pattern,Crackles,100,1.0833333333333333,2,0.71814007
Sound pattern,Crackles,100,1.0833333333333333,3,0.07087176
Sound pattern,Crackles,100,1.0833333333333333,4,0.058561683
Sound pattern,Crackles,100,1.0833333333333333,5,0.057548597
Sound pattern,Crackles,100,1.0833333333333333,6,0.08180371
Sound pattern,Crackles,100,1.0833333333333333,7,0.06582953
Sound pattern,Crackles,100,1.0833333333333333,8,0.16070995
Sound pattern,Crackles,100,1.25,1,0.22999622
Sound pattern,Crackles,100,1.25,2,0.38655153
Sound pattern,Crackles,100,1.25,3,0.122279145
Sound pattern,Crackles,100,1.25,4,0.07842179
Sound pattern,Crackles,100,1.25,5,0.045475535
Sound pattern,Crackles,100,1.25,6,0.062802166
Sound pattern,Crackles,100,1.25,7,0.10084674
Sound pattern,Crackles,100,1.25,8,0.09088434
Sound pattern,Crackles,100,1.4166666666666667,1,0.24527982
Sound pattern,Crackles,100,1.4166666666666667,2,0.15785128
Sound pattern,Crackles,100,1.4166666666666667,3,0.11608723
Sound pattern,Crackles,100,1.4166666666666667,4,0.057723347
Sound pattern,Crackles,100,1.4166666666666667,5,0.06516517
Sound pattern,Crackles,100,1.4166666666666667,6,0.082016155
Sound pattern,Crackles,100,1.4166666666666667,7,0.11225949
Sound pattern,Crackles,100,1.4166666666666667,8,0.15647548
Sound pattern,Crackles,100,1.5833333333333333,1,0.12600085
Sound pattern,Crackles,100,1.5833333333333333,2,0.1830211
Sound pattern,Crackles,100,1.5833333333333333,3,0.111894
Sound pattern,Crackles,100,1.5833333333333333,4,0.090137765
Sound pattern,Crackles,100,1.5833333333333333,5,0.12191002
Sound pattern,Crackles,100,1.5833333333333333,6,0.17916244
