task,subgroup,level,n_patients,n_events,auc,accuracy
model2_label,age_band,3-<6 y,322,8284,0.938 (0.919–0.954),0.922 (0.910–0.933)
model2_label,age_band,6-<12 y,244,5936,0.928 (0.896–0.949),0.925 (0.912–0.937)
model2_label,age_band,<3 y,141,5068,0.950 (0.929–0.967),0.885 (0.862–0.905)
model2_label,age_band,>=12 y,31,405,0.959 (0.916–0.998),0.978 (0.958–0.992)
model2_label,sex,female,362,9180,0.943 (0.926–0.957),0.914 (0.902–0.926)
model2_label,sex,male,374,10513,0.951 (0.934–0.966),0.914 (0.901–0.927)
model2_label,site,p1,590,4981,0.957 (0.942–0.968),0.924 (0.912–0.936)
model2_label,site,p2,612,5329,0.934 (0.911–0.953),0.901 (0.887–0.916)
model2_label,site,p3,568,4562,0.951 (0.933–0.965),0.914 (0.899–0.927)
model2_label,site,p4,573,4821,0.953 (0.938–0.965),0.919 (0.906–0.931)
model2_label,duration_tertile,long,614,6556,0.902 (0.864–0.930),0.953 (0.944–0.961)
model2_label,duration_tertile,medium,647,6567,0.926 (0.908–0.942),0.917 (0.906–0.928)
model2_label,duration_tertile,short,541,6570,0.945 (0.928–0.958),0.873 (0.856–0.889)
model1_label,age_band,3-<6 y,322,8284,0.944 (0.927–0.957),0.918 (0.906–0.929)
model1_label,age_band,6-<12 y,244,5936,0.937 (0.906–0.956),0.922 (0.908–0.935)
model1_label,age_band,<3 y,141,5068,0.946 (0.926–0.961),0.856 (0.827–0.882)
model1_label,age_band,>=12 y,31,405,0.965 (0.922–0.997),0.968 (0.939–0.989)
model1_label,sex,female,362,9180,0.947 (0.933–0.959),0.905 (0.891–0.918)
model1_label,sex,male,374,10513,0.951 (0.936–0.963),0.904 (0.888–0.919)
model1_label,site,p1,590,4981,0.956 (0.942–0.966),0.915 (0.901–0.928)
model1_label,site,p2,612,5329,0.936 (0.913–0.954),0.889 (0.874–0.904)
model1_label,site,p3,568,4562,0.953 (0.939–0.964),0.901 (0.883–0.917)
model1_label,site,p4,573,4821,0.956 (0.943–0.966),0.912 (0.899–0.924)
model1_label,duration_tertile,long,614,6556,0.908 (0.875–0.933),0.951 (0.941–0.960)
model1_label,duration_tertile,medium,647,6567,0.932 (0.914–0.947),0.914 (0.902–0.925)
model1_label,duration_tertile,short,541,6570,0.947 (0.934–0.958),0.848 (0.827–0.866)
model3_label,age_band,3-<6 y,322,8284,0.645 (0.593–0.695),0.472 (0.418–0.530)
model3_label,age_band,6-<12 y,244,5936,0.504 (0.431–0.579),0.393 (0.329–0.458)
model3_label,age_band,<3 y,141,5068,0.540 (0.450–0.635),0.460 (0.347–0.565)
model3_label,age_band,>=12 y,31,405,0.390 (0.304–0.506),0.136 (0.052–0.259)
model3_label,sex,female,362,9180,0.538 (0.480–0.599),0.456 (0.400–0.513)
model3_label,sex,male,374,10513,0.601 (0.541–0.655),0.422 (0.359–0.481)
model3_label,site,p1,590,4981,0.574 (0.531–0.617),0.434 (0.389–0.477)
model3_label,site,p2,612,5329,0.596 (0.551–0.642),0.456 (0.415–0.499)
model3_label,site,p3,568,4562,0.579 (0.532–0.628),0.415 (0.368–0.467)
model3_label,site,p4,573,4821,0.583 (0.539–0.628),0.443 (0.397–0.491)
model3_label,duration_tertile,long,614,6556,0.536 (0.491–0.583),0.347 (0.301–0.393)
model3_label,duration_tertile,medium,647,6567,0.584 (0.541–0.626),0.444 (0.398–0.488)
model3_label,duration_tertile,short,541,6570,0.577 (0.507–0.656),0.522 (0.443–0.601)
