model3_label,disease,patients,recordings,events
0,Pneumonia (non-severe),398,2814,10919
0,Pneumonia (severe),40,304,1262
1,Bronchitis,105,564,2301
1,Asthma,66,418,1570
1,Bronchiolitis,8,48,305
2,Control Group,71,456,1994
2,Other respiratory diseases,15,96,381
2,Acute upper respiratory infection,11,65,235
2,Bronchiectasia,8,108,313
2,Chronic cough,4,13,54
2,Hemoptysis,4,61,219
2,Airway foreign body,2,11,38
2,Pulmonary hemosiderosis,2,20,70
2,Kawasaki disease,1,3,11
2,Protracted bacterial bronchitis,1,4,21
