level,target,features,learner,n,majority,auc,auc_ci,acc,acc_ci,bacc,bacc_ci,auc_pneu,auc_pneu_ci,auc_bronch,auc_bronch_ci,auc_normoth,auc_normoth_ci,auc_rep_sd,acc_rep_mean
recording,3class,ref: mean base-model3 prob (no fit),-,4985,0.625,0.637,0.608-0.666,0.489,0.452-0.524,0.454,0.421-0.490,0.653,0.607-0.693,0.627,0.584-0.669,0.632,0.587-0.676,0.0,0.489
recording,3class,demo,logreg,4985,0.625,0.576,0.529-0.622,0.625,0.577-0.671,0.333,0.332-0.333,0.571,0.509-0.628,0.566,0.504-0.630,0.59,0.515-0.659,0.001,0.625
recording,3class,demo,lgbm,4985,0.625,0.577,0.536-0.622,0.634,0.585-0.679,0.368,0.345-0.394,0.612,0.558-0.670,0.573,0.515-0.634,0.546,0.479-0.616,0.012,0.626
recording,3class,acoustic,logreg,4985,0.625,0.628,0.595-0.663,0.619,0.573-0.663,0.341,0.335-0.348,0.642,0.600-0.683,0.618,0.573-0.661,0.625,0.580-0.673,0.003,0.617
recording,3class,acoustic,lgbm,4985,0.625,0.621,0.588-0.653,0.622,0.576-0.666,0.351,0.343-0.360,0.641,0.598-0.680,0.622,0.581-0.663,0.6,0.556-0.645,0.005,0.618
recording,3class,acoustic+demo,logreg,4985,0.625,0.651,0.617-0.683,0.61,0.565-0.652,0.354,0.343-0.366,0.665,0.623-0.707,0.652,0.604-0.699,0.635,0.586-0.684,0.001,0.608
recording,3class,acoustic+demo,lgbm,4985,0.625,0.664,0.626-0.699,0.634,0.590-0.677,0.397,0.376-0.418,0.696,0.650-0.737,0.67,0.619-0.717,0.628,0.569-0.683,0.006,0.626
recording,pneumonia_vs_rest,ref: mean base-model3 prob (no fit),-,4985,0.625,0.653,0.607-0.693,0.492,0.455-0.530,0.579,0.553-0.603,,,,,,,0.0,0.492
recording,pneumonia_vs_rest,demo,logreg,4985,0.625,0.568,0.506-0.623,0.636,0.589-0.681,0.522,0.504-0.542,,,,,,,0.009,0.631
recording,pneumonia_vs_rest,demo,lgbm,4985,0.625,0.609,0.555-0.667,0.632,0.581-0.680,0.553,0.512-0.590,,,,,,,0.012,0.641
recording,pneumonia_vs_rest,acoustic,logreg,4985,0.625,0.648,0.604-0.691,0.634,0.597-0.670,0.569,0.542-0.595,,,,,,,0.006,0.632
recording,pneumonia_vs_rest,acoustic,lgbm,4985,0.625,0.646,0.601-0.686,0.631,0.593-0.667,0.566,0.542-0.590,,,,,,,0.006,0.631
recording,pneumonia_vs_rest,acoustic+demo,logreg,4985,0.625,0.668,0.624-0.709,0.653,0.615-0.690,0.595,0.566-0.624,,,,,,,0.006,0.65
recording,pneumonia_vs_rest,acoustic+demo,lgbm,4985,0.625,0.687,0.640-0.729,0.672,0.631-0.710,0.622,0.587-0.656,,,,,,,0.012,0.665
patient,3class,ref: mean base-model3 prob (no fit),-,736,0.595,0.621,0.588-0.653,0.448,0.414-0.485,0.433,0.392-0.477,0.618,0.576-0.655,0.652,0.603-0.700,0.594,0.543-0.648,0.0,0.448
patient,3class,demo,logreg,736,0.595,0.537,0.504-0.574,0.595,0.560-0.629,0.333,0.333-0.333,0.505,0.463-0.548,0.57,0.517-0.622,0.538,0.477-0.595,0.008,0.595
patient,3class,demo,lgbm,736,0.595,0.598,0.565-0.632,0.594,0.560-0.630,0.347,0.334-0.362,0.605,0.563-0.646,0.599,0.556-0.649,0.59,0.535-0.645,0.004,0.595
patient,3class,acoustic,logreg,736,0.595,0.615,0.581-0.650,0.601,0.567-0.637,0.379,0.356-0.401,0.622,0.581-0.663,0.642,0.594-0.691,0.58,0.529-0.637,0.007,0.596
patient,3class,acoustic,lgbm,736,0.595,0.63,0.597-0.664,0.59,0.554-0.624,0.377,0.354-0.401,0.642,0.605-0.681,0.649,0.601-0.691,0.601,0.549-0.654,0.006,0.585
patient,3class,acoustic+demo,logreg,736,0.595,0.627,0.593-0.663,0.592,0.560-0.628,0.384,0.360-0.409,0.639,0.600-0.680,0.653,0.604-0.701,0.589,0.537-0.642,0.006,0.595
patient,3class,acoustic+demo,lgbm,736,0.595,0.645,0.612-0.680,0.599,0.565-0.635,0.386,0.362-0.410,0.658,0.620-0.697,0.665,0.616-0.708,0.612,0.558-0.664,0.005,0.593
patient,pneumonia_vs_rest,ref: mean base-model3 prob (no fit),-,736,0.595,0.618,0.576-0.655,0.467,0.433-0.504,0.547,0.528-0.564,,,,,,,0.0,0.467
patient,pneumonia_vs_rest,demo,logreg,736,0.595,0.517,0.473-0.561,0.591,0.556-0.624,0.497,0.492-0.500,,,,,,,0.008,0.591
patient,pneumonia_vs_rest,demo,lgbm,736,0.595,0.614,0.571-0.654,0.62,0.586-0.655,0.561,0.532-0.589,,,,,,,0.007,0.615
patient,pneumonia_vs_rest,acoustic,logreg,736,0.595,0.634,0.592-0.674,0.607,0.572-0.640,0.569,0.534-0.603,,,,,,,0.006,0.615
patient,pneumonia_vs_rest,acoustic,lgbm,736,0.595,0.628,0.588-0.667,0.61,0.577-0.644,0.576,0.542-0.609,,,,,,,0.017,0.61
patient,pneumonia_vs_rest,acoustic+demo,logreg,736,0.595,0.652,0.611-0.693,0.649,0.618-0.685,0.615,0.583-0.649,,,,,,,0.005,0.645
patient,pneumonia_vs_rest,acoustic+demo,lgbm,736,0.595,0.647,0.607-0.687,0.633,0.601-0.667,0.599,0.566-0.635,,,,,,,0.014,0.621
